,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RIPOR2,7.38194680872112e-24,0.369415673105332,0.786,0.676,1.90373026250109e-19,14,RIPOR2
UBTF,1.12123733420614e-23,0.370970189280754,0.374,0.235,2.89155896118421e-19,14,UBTF
YBX11,4.49756550178414e-23,0.319431741425176,0.932,0.881,1.15987716725511e-18,14,YBX1
KDM6B1,6.06310438762968e-23,0.391374854785699,0.345,0.216,1.56361399052582e-18,14,KDM6B
TSC22D3,6.28262735285304e-23,0.342332376957249,0.938,0.9,1.62022676802727e-18,14,TSC22D3
GADD45B1,9.18033275643661e-23,0.403412622255547,0.622,0.478,2.36751601455744e-18,14,GADD45B
ITPKB,3.5332852227024e-22,0.312239356370851,0.279,0.161,9.11198926082722e-18,14,ITPKB
CD3D1,2.08030224998377e-21,0.2793127361028,0.915,0.812,5.36489147248314e-17,14,CD3D
SNHG15,6.84317122577471e-21,0.355938801278691,0.394,0.261,1.76478542741504e-16,14,SNHG15
ZNF22,1.34755151275942e-20,0.309896106663295,0.285,0.17,3.47520059625527e-16,14,ZNF22
C16orf541,1.42028454440165e-20,0.394729492413025,0.42,0.294,3.66277181155741e-16,14,C16orf54
TUBA1A,4.01769666409801e-20,0.350488326353611,0.818,0.717,1.03612379270423e-15,14,TUBA1A
ZBTB11,6.98597817010833e-20,0.34048333485267,0.414,0.28,1.80161391028924e-15,14,ZBTB1
ISG202,7.16654423032268e-20,0.326871245683727,0.668,0.569,1.84818009155792e-15,14,ISG20
TSPYL2,1.56638772973859e-19,0.586844799327005,0.42,0.307,4.03955731622285e-15,14,TSPYL2
ODF2L,1.62176254048914e-19,0.356756905289276,0.46,0.333,4.18236341566743e-15,14,ODF2L
PLAC81,4.07802062068893e-19,0.259056330107469,0.644,0.499,1.05168073786947e-14,14,PLAC8
RHOH,4.21031603570575e-19,0.381152752675697,0.539,0.416,1.08579840244816e-14,14,RHOH
GTF3A,1.99777478344497e-18,0.31185895383653,0.735,0.636,5.15206138902623e-14,14,GTF3A
CXCR4,3.4768304283876e-18,0.308787578478811,0.881,0.818,8.96639799176878e-14,14,CXCR4
PIK3R11,3.84746090196269e-18,0.418605823128763,0.623,0.513,9.92221692007157e-14,14,PIK3R1
TPST22,4.26368099634769e-18,0.280286323819357,0.325,0.201,1.09956069214811e-13,14,TPST2
ILF3-DT1,5.2147359486362e-18,0.372917470518293,0.492,0.372,1.34482825379379e-13,14,ILF3-DT
SLC2A31,5.41592576070235e-18,0.376597597966949,0.549,0.428,1.39671309442753e-13,14,SLC2A3
SCML4,8.11002473045494e-18,0.310772326176403,0.291,0.183,2.09149427773703e-13,14,SCML4
RGCC1,2.2204081958162e-17,0.374638690314153,0.468,0.346,5.72621069619041e-13,14,RGCC
BICDL1,3.22128849171337e-17,0.359029966860993,0.358,0.243,8.30738089127962e-13,14,BICDL1
SOCS33,3.94870814499157e-17,0.353006034693496,0.462,0.339,1.01833234351188e-12,14,SOCS3
ACAP1,4.95490035095554e-17,0.302074676587066,0.79,0.707,1.27781925150792e-12,14,ACAP1
STT3B,5.33932936840994e-17,0.301728189544995,0.382,0.269,1.37695965081924e-12,14,STT3B
PRKCH1,1.51154509039631e-16,0.307282406409234,0.462,0.344,3.89812363362303e-12,14,PRKCH
TNRC6B,2.93426559519799e-16,0.318819997550031,0.657,0.551,7.56717754345611e-12,14,TNRC6B
REL1,5.51877927782017e-16,0.311249593002656,0.352,0.24,1.42323798795704e-11,14,REL
LDLRAP12,1.71747147716244e-15,0.266776216441817,0.322,0.216,4.42918719245421e-11,14,LDLRAP1
CCDC691,1.74655930218374e-15,0.289228221210355,0.308,0.204,4.50420178440164e-11,14,CCDC69
BEX41,4.99120892634661e-15,0.282371458785675,0.307,0.204,1.28718287001553e-10,14,BEX4
KAT6B1,8.48927200218134e-15,0.348683905546299,0.412,0.302,2.18929835664255e-10,14,KAT6B
PGK11,1.81353561350923e-14,0.298721071975132,0.59,0.491,4.67692699367896e-10,14,PGK1
NELL21,3.72719850938564e-14,0.311124048858674,0.263,0.172,9.61207223585463e-10,14,NELL2
AC044849.11,9.90794474534898e-14,0.283364639709414,0.604,0.493,2.55515987037805e-09,14,AC044849.1
TRA2A1,1.72743044876101e-13,0.250603657472715,0.457,0.347,4.45487038430978e-09,14,TRA2A
SLC25A52,2.12763965789854e-13,0.303896975130167,0.631,0.536,5.48696991375454e-09,14,SLC25A5
MLXIP1,2.27585178771106e-13,0.280734776576728,0.267,0.177,5.86919417532804e-09,14,MLXIP
HNRNPU1,2.58637143130987e-13,0.253972396463783,0.781,0.718,6.66999328420502e-09,14,HNRNPU
CYCS,3.4977913407405e-13,0.291269713721168,0.659,0.566,9.02045408863568e-09,14,CYCS
GTF2I1,3.53214678134324e-13,0.250073984548632,0.338,0.237,9.10905333440607e-09,14,GTF2I
AL121944.1,5.23770457891845e-13,0.282779950855238,0.263,0.174,1.35075163385728e-08,14,AL121944.1
TBCC,5.2703890333722e-13,0.275213937018407,0.404,0.304,1.35918062781636e-08,14,TBCC
TLE41,6.69320648072665e-13,0.340233011376935,0.434,0.341,1.7261110193146e-08,14,TLE4
SEMA4D,8.45153457860134e-13,0.298400028783349,0.37,0.27,2.1795662524755e-08,14,SEMA4D
CLK11,9.45004395968925e-13,0.26867537933209,0.538,0.438,2.43707183676426e-08,14,CLK1
MCL11,1.22173909369067e-12,0.266405561636375,0.654,0.558,3.15074294871887e-08,14,MCL1
